,date,name,value
451,2015-01-01,Sabana Grande,23626
452,2015-01-01,Salinas,29293
453,2015-01-01,San Germán,32954
454,2015-01-01,San Juan,355504
455,2015-01-01,San Lorenzo,38745
456,2015-01-01,San Sebastián,39008
457,2015-01-01,Santa Isabel,22515
458,2015-01-01,Toa Alta,74347
459,2015-01-01,Toa Baja,82018
460,2015-01-01,Trujillo Alto,69611
461,2015-01-01,Utuado,30254
462,2015-01-01,Vega Alta,38661
463,2015-01-01,Vega Baja,54787
464,2015-01-01,Vieques,8952
465,2015-01-01,Villalba,23667
466,2015-01-01,Yabucoa,35062
467,2015-01-01,Yauco,37607
468,2016-01-01,Adjuntas,18306
469,2016-01-01,Aguada,38900
470,2016-01-01,Aguadilla,54417
471,2016-01-01,Aguas Buenas,26415
472,2016-01-01,Aibonito,23593
473,2016-01-01,Añasco,27561
474,2016-01-01,Arecibo,87807
475,2016-01-01,Arroyo,18221
476,2016-01-01,Barceloneta,24449
477,2016-01-01,Barranquitas,28941
478,2016-01-01,Bayamón,183957
479,2016-01-01,Cabo Rojo,49350
480,2016-01-01,Caguas,132132
481,2016-01-01,Camuy,32387
482,2016-01-01,Canóvanas,46383
483,2016-01-01,Carolina,158315
484,2016-01-01,Cataño,25037
485,2016-01-01,Cayey,44813
486,2016-01-01,Ceiba,11916
487,2016-01-01,Ciales,17017
488,2016-01-01,Cidra,40605
489,2016-01-01,Coamo,39483
490,2016-01-01,Comerío,19652
491,2016-01-01,Corozal,34376
492,2016-01-01,Culebra,1793
493,2016-01-01,Dorado,37459
494,2016-01-01,Fajardo,32168
495,2016-01-01,Florida,11982
496,2016-01-01,Guánica,16857
497,2016-01-01,Guayama,41976
498,2016-01-01,Guayanilla,19125
499,2016-01-01,Guaynabo,89178
500,2016-01-01,Gurabo,47177
501,2016-01-01,Hatillo,40635
502,2016-01-01,Hormigueros,16268
503,2016-01-01,Humacao,53762
504,2016-01-01,Isabela,42713
505,2016-01-01,Jayuya,15015
506,2016-01-01,Juana Díaz,47280
507,2016-01-01,Juncos,39408
508,2016-01-01,Lajas,23431
509,2016-01-01,Lares,26574
510,2016-01-01,Las Marías,8661
511,2016-01-01,Las Piedras,38019
512,2016-01-01,Loíza,26612
513,2016-01-01,Luquillo,18636
514,2016-01-01,Manatí,39913
515,2016-01-01,Maricao,5767
516,2016-01-01,Maunabo,11083
517,2016-01-01,Mayagüez,77638
518,2016-01-01,Moca,37087
519,2016-01-01,Morovis,31517
520,2016-01-01,Naguabo,26441
521,2016-01-01,Naranjito,28732
522,2016-01-01,Orocovis,21538
523,2016-01-01,Patillas,17426
524,2016-01-01,Peñuelas,21110
525,2016-01-01,Ponce,144500
526,2016-01-01,Quebradillas,24174
527,2016-01-01,Rincón,14354
528,2016-01-01,Río Grande,50816
529,2016-01-01,Sabana Grande,23187
530,2016-01-01,Salinas,28807
531,2016-01-01,San Germán,32340
532,2016-01-01,San Juan,346386
533,2016-01-01,San Lorenzo,38118
534,2016-01-01,San Sebastián,38170
535,2016-01-01,Santa Isabel,22223
536,2016-01-01,Toa Alta,73899
537,2016-01-01,Toa Baja,80200
